AVE_iter:82	EPISODE_REWARD:29.798062343271873	FINISHED_NUM:323.9375	TIME_MEAN:0.020783522611159188	TIME_STD:0.012592388824876455	FARE_MEAN:0.4880999800764326	FARE_STD:0.1837622721441539
AVE_iter:83	EPISODE_REWARD:30.544593701615625	FINISHED_NUM:327.1875	TIME_MEAN:0.020783593841328545	TIME_STD:0.013212034231445863	FARE_MEAN:0.5031466684666441	FARE_STD:0.18125192913310506
AVE_iter:84	EPISODE_REWARD:29.588549310850002	FINISHED_NUM:321.1875	TIME_MEAN:0.020262918685187325	TIME_STD:0.012033314679543045	FARE_MEAN:0.48248802569314186	FARE_STD:0.18546804578006407
AVE_iter:85	EPISODE_REWARD:29.788441157853125	FINISHED_NUM:322.4375	TIME_MEAN:0.02133800838491978	TIME_STD:0.013638940864613635	FARE_MEAN:0.4891214856413546	FARE_STD:0.18516365592992462
AVE_iter:86	EPISODE_REWARD:30.013766911859378	FINISHED_NUM:319.96875	TIME_MEAN:0.02082519833495572	TIME_STD:0.012955874715090658	FARE_MEAN:0.48910777135931377	FARE_STD:0.17653375142364916
AVE_iter:87	EPISODE_REWARD:28.873088047262502	FINISHED_NUM:322.28125	TIME_MEAN:0.020358101822690336	TIME_STD:0.01224506589749381	FARE_MEAN:0.47619018985257955	FARE_STD:0.1791204157066883
AVE_iter:88	EPISODE_REWARD:29.61206155995	FINISHED_NUM:319.21875	TIME_MEAN:0.020686159234364405	TIME_STD:0.012917052991286104	FARE_MEAN:0.48417645520297015	FARE_STD:0.18741634676450353
AVE_iter:89	EPISODE_REWARD:29.584318760384374	FINISHED_NUM:317.4375	TIME_MEAN:0.02010541327109548	TIME_STD:0.011869557386265831	FARE_MEAN:0.48565382283786374	FARE_STD:0.18764966711463155
AVE_iter:90	EPISODE_REWARD:29.85133699058438	FINISHED_NUM:319.5	TIME_MEAN:0.0202525278031285	TIME_STD:0.012406436080944681	FARE_MEAN:0.4863451516109879	FARE_STD:0.18357097966799307
AVE_iter:91	EPISODE_REWARD:29.38918543677187	FINISHED_NUM:317.125	TIME_MEAN:0.02011666640209751	TIME_STD:0.012292778310302482	FARE_MEAN:0.48243261824747874	FARE_STD:0.17692618339990418
AVE_iter:92	EPISODE_REWARD:29.29451324498125	FINISHED_NUM:323.125	TIME_MEAN:0.02052905775467228	TIME_STD:0.012901384476849763	FARE_MEAN:0.4827299177712202	FARE_STD:0.17919488437275324
AVE_iter:93	EPISODE_REWARD:28.591669254653127	FINISHED_NUM:314.375	TIME_MEAN:0.020271281687767286	TIME_STD:0.011953185934281602	FARE_MEAN:0.47133199538802495	FARE_STD:0.17996349371143633
AVE_iter:94	EPISODE_REWARD:29.662260859071875	FINISHED_NUM:317.03125	TIME_MEAN:0.020351610057529786	TIME_STD:0.01205549559101523	FARE_MEAN:0.4842375197554184	FARE_STD:0.18534344060274752
AVE_iter:95	EPISODE_REWARD:28.46483813061875	FINISHED_NUM:319.53125	TIME_MEAN:0.020383689424444476	TIME_STD:0.012067063880085743	FARE_MEAN:0.4706218371714203	FARE_STD:0.1769909151668176
AVE_iter:96	EPISODE_REWARD:28.922150337128123	FINISHED_NUM:316.84375	TIME_MEAN:0.02005543040819475	TIME_STD:0.011917189326265946	FARE_MEAN:0.47430859281210236	FARE_STD:0.17893811285502298
AVE_iter:97	EPISODE_REWARD:29.208290884490623	FINISHED_NUM:318.03125	TIME_MEAN:0.02033666437173169	TIME_STD:0.012507882481033007	FARE_MEAN:0.4780115293685809	FARE_STD:0.17971346946763664
AVE_iter:98	EPISODE_REWARD:29.0987883747375	FINISHED_NUM:319.75	TIME_MEAN:0.020137918469673742	TIME_STD:0.012203845386270073	FARE_MEAN:0.478866924275108	FARE_STD:0.17569607305999196
AVE_iter:99	EPISODE_REWARD:29.361986625459373	FINISHED_NUM:325.0625	TIME_MEAN:0.020808651141420872	TIME_STD:0.012776039340377129	FARE_MEAN:0.48909730384951877	FARE_STD:0.18617503331014673
AVE_iter:100	EPISODE_REWARD:30.927022424215625	FINISHED_NUM:322.03125	TIME_MEAN:0.020343548635164563	TIME_STD:0.012230932224907821	FARE_MEAN:0.49922652773558673	FARE_STD:0.1950916810499421
AVE_iter:101	EPISODE_REWARD:29.377436745637503	FINISHED_NUM:315.96875	TIME_MEAN:0.02060722074785463	TIME_STD:0.012950450795053477	FARE_MEAN:0.4803016810796519	FARE_STD:0.19202280835789104
AVE_iter:102	EPISODE_REWARD:30.16646648171875	FINISHED_NUM:323.625	TIME_MEAN:0.020261662030559423	TIME_STD:0.01234798900590477	FARE_MEAN:0.49372669990919216	FARE_STD:0.1757821825571204
AVE_iter:103	EPISODE_REWARD:29.49183708219375	FINISHED_NUM:320.71875	TIME_MEAN:0.01995485736523163	TIME_STD:0.012035071116081163	FARE_MEAN:0.483810257671608	FARE_STD:0.19339247403656856
AVE_iter:104	EPISODE_REWARD:28.5489680211875	FINISHED_NUM:318.375	TIME_MEAN:0.02054925197631441	TIME_STD:0.01205528801068892	FARE_MEAN:0.4716021981321934	FARE_STD:0.16995834196875262
AVE_iter:105	EPISODE_REWARD:28.194787154728125	FINISHED_NUM:316.03125	TIME_MEAN:0.02025648254752202	TIME_STD:0.012179176359604405	FARE_MEAN:0.4668378354588758	FARE_STD:0.17999115337857383
AVE_iter:106	EPISODE_REWARD:28.283319979246876	FINISHED_NUM:318.125	TIME_MEAN:0.02039512692482607	TIME_STD:0.01260259195587357	FARE_MEAN:0.4702866306300155	FARE_STD:0.17272008068009714
AVE_iter:107	EPISODE_REWARD:29.13756832649375	FINISHED_NUM:318.15625	TIME_MEAN:0.02038707166534917	TIME_STD:0.012801916239351323	FARE_MEAN:0.4798711332486951	FARE_STD:0.19251542054468718
AVE_iter:108	EPISODE_REWARD:28.992252424084377	FINISHED_NUM:318.0625	TIME_MEAN:0.02043107957863366	TIME_STD:0.012519768126107163	FARE_MEAN:0.47634120752301645	FARE_STD:0.17924958193243112
AVE_iter:109	EPISODE_REWARD:29.8385386132375	FINISHED_NUM:322.09375	TIME_MEAN:0.020348830925660158	TIME_STD:0.01235222785878502	FARE_MEAN:0.48856629950223773	FARE_STD:0.19096492170218196
AVE_iter:110	EPISODE_REWARD:28.703848169409376	FINISHED_NUM:317.75	TIME_MEAN:0.020544646423235783	TIME_STD:0.012559291720450427	FARE_MEAN:0.4743210891369049	FARE_STD:0.17562408550770753
AVE_iter:111	EPISODE_REWARD:28.74359115705625	FINISHED_NUM:319.15625	TIME_MEAN:0.020465172331991445	TIME_STD:0.01238253764161468	FARE_MEAN:0.47609894556681853	FARE_STD:0.1825890083516881
AVE_iter:112	EPISODE_REWARD:29.78273942686875	FINISHED_NUM:322.46875	TIME_MEAN:0.020061341515014118	TIME_STD:0.01170085146410862	FARE_MEAN:0.48814263025345195	FARE_STD:0.18192455780710154
AVE_iter:113	EPISODE_REWARD:28.051493834909373	FINISHED_NUM:321.625	TIME_MEAN:0.02055007715934046	TIME_STD:0.01225369927997837	FARE_MEAN:0.47124514814645746	FARE_STD:0.17717449767076177
AVE_iter:114	EPISODE_REWARD:29.419512397628125	FINISHED_NUM:320.09375	TIME_MEAN:0.0202105002037959	TIME_STD:0.012337138163021224	FARE_MEAN:0.4836514282225219	FARE_STD:0.18090238541960962
AVE_iter:115	EPISODE_REWARD:29.260312608796873	FINISHED_NUM:323.875	TIME_MEAN:0.020703950781892397	TIME_STD:0.012507688050963094	FARE_MEAN:0.4822649994038939	FARE_STD:0.18383421576618142
AVE_iter:116	EPISODE_REWARD:30.060984510846872	FINISHED_NUM:323.375	TIME_MEAN:0.02030974724009642	TIME_STD:0.011854479986467228	FARE_MEAN:0.4914682572559063	FARE_STD:0.1998336105261983
AVE_iter:117	EPISODE_REWARD:29.210227309425	FINISHED_NUM:319.1875	TIME_MEAN:0.02006830883741831	TIME_STD:0.011939218582769683	FARE_MEAN:0.48057464611474143	FARE_STD:0.18099830350153476
AVE_iter:118	EPISODE_REWARD:29.224650429840622	FINISHED_NUM:315.53125	TIME_MEAN:0.020311397116849227	TIME_STD:0.012417874874320865	FARE_MEAN:0.4806492027524286	FARE_STD:0.17066864856462832
AVE_iter:119	EPISODE_REWARD:28.2957140900875	FINISHED_NUM:314.3125	TIME_MEAN:0.02018512648334966	TIME_STD:0.0121710525937397	FARE_MEAN:0.4678426268722833	FARE_STD:0.17844319898814354
AVE_iter:120	EPISODE_REWARD:29.44129596388125	FINISHED_NUM:318.75	TIME_MEAN:0.020412569835976495	TIME_STD:0.012052869779952924	FARE_MEAN:0.48479144383549794	FARE_STD:0.18174279611207145
AVE_iter:121	EPISODE_REWARD:29.228700939184375	FINISHED_NUM:315.46875	TIME_MEAN:0.020247644215807957	TIME_STD:0.012524742126889598	FARE_MEAN:0.47670271496245	FARE_STD:0.1765555341827436
AVE_iter:122	EPISODE_REWARD:29.552442252846873	FINISHED_NUM:319.875	TIME_MEAN:0.02052529458454635	TIME_STD:0.012379270575299813	FARE_MEAN:0.48562571400183935	FARE_STD:0.1788561648448636
AVE_iter:123	EPISODE_REWARD:29.279515541625	FINISHED_NUM:319.3125	TIME_MEAN:0.020194595582253866	TIME_STD:0.011779935330148966	FARE_MEAN:0.4812309035648377	FARE_STD:0.17569177639881542
AVE_iter:124	EPISODE_REWARD:30.174725072284375	FINISHED_NUM:321.34375	TIME_MEAN:0.020635042794038938	TIME_STD:0.012853941856977184	FARE_MEAN:0.49564038364526214	FARE_STD:0.1956074107167753
AVE_iter:125	EPISODE_REWARD:30.74170654094375	FINISHED_NUM:317.46875	TIME_MEAN:0.02035550736002516	TIME_STD:0.012345851316930272	FARE_MEAN:0.4978202001199301	FARE_STD:0.18511963350090427
