AVE_iter:80	EPISODE_REWARD:75.50343974845626	FINISHED_NUM:637.875	TIME_MEAN:0.024462311711898284	TIME_STD:0.011003037414991767	FARE_MEAN:0.959929047037283	FARE_STD:0.38211544747630777
AVE_iter:81	EPISODE_REWARD:75.2711601295625	FINISHED_NUM:637.0625	TIME_MEAN:0.02388107509864681	TIME_STD:0.010150834737627847	FARE_MEAN:0.9525713690810816	FARE_STD:0.3673354402165864
AVE_iter:82	EPISODE_REWARD:75.45261009104375	FINISHED_NUM:641.78125	TIME_MEAN:0.024617441542494865	TIME_STD:0.011203676712838718	FARE_MEAN:0.9600538818877257	FARE_STD:0.38124873920061325
AVE_iter:83	EPISODE_REWARD:76.60773295838126	FINISHED_NUM:635.84375	TIME_MEAN:0.024592768751750614	TIME_STD:0.010676180061659435	FARE_MEAN:0.9657084359109863	FARE_STD:0.40037350643849057
AVE_iter:84	EPISODE_REWARD:77.02371327950002	FINISHED_NUM:638.0625	TIME_MEAN:0.024134724252004802	TIME_STD:0.01035583241073227	FARE_MEAN:0.9733619845530872	FARE_STD:0.39712135895986583
AVE_iter:85	EPISODE_REWARD:76.37848620540001	FINISHED_NUM:645.28125	TIME_MEAN:0.025200379764924855	TIME_STD:0.011892115703911504	FARE_MEAN:0.9779617119981973	FARE_STD:0.39875347533439914
AVE_iter:86	EPISODE_REWARD:74.99452277217188	FINISHED_NUM:639.5625	TIME_MEAN:0.02460033643678957	TIME_STD:0.010811850523106566	FARE_MEAN:0.95440239791998	FARE_STD:0.3792285431949451
AVE_iter:87	EPISODE_REWARD:76.31313476693751	FINISHED_NUM:642.3125	TIME_MEAN:0.0241305746192264	TIME_STD:0.01118040411276575	FARE_MEAN:0.9666670114687836	FARE_STD:0.3766777605360927
AVE_iter:88	EPISODE_REWARD:75.786060399725	FINISHED_NUM:637.78125	TIME_MEAN:0.02453373186720418	TIME_STD:0.010506550847290769	FARE_MEAN:0.9578808577496943	FARE_STD:0.37854804752666027
AVE_iter:89	EPISODE_REWARD:75.632175297	FINISHED_NUM:644.65625	TIME_MEAN:0.025358268929415353	TIME_STD:0.011823605603274032	FARE_MEAN:0.9700879235678689	FARE_STD:0.3744129417056679
AVE_iter:90	EPISODE_REWARD:76.53380139272187	FINISHED_NUM:637.09375	TIME_MEAN:0.023941409804899564	TIME_STD:0.010255882616226387	FARE_MEAN:0.9680608806592208	FARE_STD:0.3977778435645373
